Municipio,NUTS I,NUTS II,NUTS III,mes,ano,nr_dormidas
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2020,1269
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2020,710
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2020,533
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2020,307
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2021,204
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2021,212
Alandroal,Continente,Alentejo,Alentejo Central,Março,2021,289
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2021,252
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2021,578
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2021,1046
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2021,1472
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2021,2070
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2021,1016
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2021,786
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2021,471
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2021,377
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2022,325
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2022,506
Alandroal,Continente,Alentejo,Alentejo Central,Março,2022,453
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2022,744
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2022,727
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2022,1208
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2022,1547
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2022,2267
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2022,1584
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2022,797
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2022,539
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2022,682
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2023,514
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2023,435
Alandroal,Continente,Alentejo,Alentejo Central,Março,2023,490
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2023,1244
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2023,836
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2023,1648
