regiao_codigo,regiao_nome,dormidas,ano,origem
,16E0608: Mira,68308.0,2024,Total
,16E0609: Miranda do Corvo,24444.0,2024,Total
,16E0610: Montemor-o-Velho,10969.0,2024,Total
,16E1808: Mortágua,66335.0,2024,Total
,16E0611: Oliveira do Hospital,42399.0,2024,Total
,16E0612: Pampilhosa da Serra,8748.0,2024,Total
,16E0613: Penacova,15888.0,2024,Total
,16E0614: Penela,25617.0,2024,Total
,16E0615: Soure,24333.0,2024,Total
,16E0616: Tábua,46061.0,2024,Total
,16E0617: Vila Nova de Poiares,3948.0,2024,Total
,16F: Região de Leiria,649418.0,2024,Total
,16F1002: Alvaiázere,6022.0,2024,Total
,16F1003: Ansião,12194.0,2024,Total
,16F1004: Batalha,63329.0,2024,Total
,16F1007: Castanheira de Pêra,7296.0,2024,Total
,16F1008: Figueiró dos Vinhos,11817.0,2024,Total
,16F1009: Leiria,335446.0,2024,Total
,16F1010: Marinha Grande,125970.0,2024,Total
,16F1013: Pedrógão Grande,2282.0,2024,Total
,16F1015: Pombal,61790.0,2024,Total
,16F1016: Porto de Mós,23272.0,2024,Total
,16G: Viseu Dão Lafões,632309.0,2024,Total
,16G0901: Aguiar da Beira,8430.0,2024,Total
,16G1802: Carregal do Sal,8735.0,2024,Total
,16G1803: Castro Daire,15928.0,2024,Total
,16G1806: Mangualde,32034.0,2024,Total
,16G1809: Nelas,60355.0,2024,Total
,16G1810: Oliveira de Frades,8199.0,2024,Total
,16G1811: Penalva do Castelo,14421.0,2024,Total
,16G1814: Santa Comba Dão,2604.0,2024,Total
,16G1816: São Pedro do Sul,142964.0,2024,Total
,16G1817: Sátão,3699.0,2024,Total
,16G1821: Tondela,43213.0,2024,Total
,16G1822: Vila Nova de Paiva,2572.0,2024,Total
,16G1823: Viseu,273508.0,2024,Total
,16G1824: Vouzela,15647.0,2024,Total
,16H: Beira Baixa,210291.0,2024,Total
,16H0502: Castelo Branco,114000.0,2024,Total
,16H0505: Idanha-a-Nova,41917.0,2024,Total
,16H0506: Oleiros,12327.0,2024,Total
,16H0507: Penamacor,21117.0,2024,Total
,16H0508: Proença-a-Nova,5604.0,2024,Total
,16H0511: Vila Velha de Ródão,15326.0,2024,Total
,16I: Médio Tejo,1681298.0,2024,Total
,16I1401: Abrantes,47070.0,2024,Total
,16I1402: Alcanena,17989.0,2024,Total
,16I1408: Constância,8085.0,2024,Total
,16I1410: Entroncamento,18178.0,2024,Total
,16I1411: Ferreira do Zêzere,28007.0,2024,Total
,16I1413: Mação,4020.0,2024,Total
,16I1421: Ourém,1255757.0,2024,Total
,16I1417: Sardoal,3302.0,2024,Total
,16I0509: Sertã,65643.0,2024,Total
,16I1418: Tomar,170641.0,2024,Total
,16I1419: Torres Novas,46050.0,2024,Total
,16I0510: Vila de Rei,9160.0,2024,Total
,16I1420: Vila Nova da Barquinha,7396.0,2024,Total
,16J: Beiras e Serra da Estrela,1000784.0,2024,Total
